latitude,longitude,ev_adoption_percent,avg_income,population_density,traffic_density,competition_count,accessibility_meters,traffic_flow_daily,distance_gap_km,fuel_station_count,rest_stop_count,risk_index,score
23.037270059423683,72.4425664644193,10.64,86199.0,8278.0,3176.0,2,1792.0,30621.0,3.33,4,3,3.46,44.1
23.32535715320496,72.62095047368918,10.15,77340.0,9156.0,3639.0,2,1328.0,33998.0,0.75,1,0,0.58,43.3
23.215996970905703,72.7864729179382,31.91,78671.0,7929.0,1519.0,3,2254.0,37668.0,6.19,0,5,9.3,43.82
23.14932924209852,72.71611244320478,10.24,37681.0,10076.0,1556.0,2,796.0,19552.0,0.76,3,4,0.66,38.09
22.92800932022122,72.75328057393072,10.97,89239.0,13847.0,4263.0,4,1444.0,45146.0,7.39,5,6,7.41,53.43
22.9279972601681,72.67939168335535,27.06,70225.0,6277.0,1850.0,3,1262.0,11153.0,0.6,6,4,3.78,42.1
22.8790418060841,72.69613828225891,16.84,57614.0,5616.0,2222.0,4,1234.0,15123.0,3.94,2,3,9.49,33.35
23.28308807288747,72.77459782578265,27.63,67868.0,3875.0,2103.0,4,1151.0,19650.0,5.84,4,7,4.2,47.97
23.150557505871607,72.47483400442958,4.16,29475.0,3578.0,6000.0,2,530.0,32409.0,3.27,5,3,8.17,40.47
23.204036288898024,72.59471248182156,18.09,73173.0,4906.0,1353.0,2,1894.0,13690.0,1.89,1,6,2.83,36.79
22.860292247147903,72.4606047209098,3.11,44413.0,8247.0,1336.0,1,1139.0,14425.0,6.12,4,5,2.99,38.68
23.334954926081,72.84383400399832,4.07,37947.0,12053.0,2384.0,5,2397.0,57103.0,6.32,4,1,5.96,37.8
23.266221320400213,72.8220296698433,31.91,34553.0,13465.0,2139.0,0,667.0,53464.0,7.4,7,5,9.98,71.16480589821593
22.95616955533914,72.36971340568425,6.6,87254.0,11770.0,1093.0,4,1713.0,13362.0,3.13,3,2,5.18,33.78
22.94091248360355,72.70278758625784,19.57,52415.0,21617.0,2267.0,3,2353.0,18629.0,4.15,4,5,9.36,43.59
22.94170225492672,72.81262415870783,15.57,95675.0,24990.0,2424.0,2,1665.0,28162.0,3.03,3,4,7.86,49.02
23.00212112147977,72.44028767256366,13.46,54284.0,9470.0,1733.0,2,2181.0,38802.0,2.21,3,9,7.96,35.71
23.11237821581612,72.6339726152763,31.69,30853.0,6337.0,2185.0,2,2072.0,22743.0,6.06,1,6,4.36,46.71
23.06597250932106,72.80774414879401,2.72,42670.0,28000.0,1441.0,5,913.0,21279.0,2.85,0,7,3.87,41.46
22.995614570099026,72.36697298929289,23.91,89716.0,19355.0,1095.0,1,1508.0,50216.0,3.54,10,2,1.92,76.21621709187315
23.155926447361196,72.69871013362341,33.79,61882.0,18654.0,1841.0,3,408.0,19593.0,3.35,5,5,9.64,50.86
22.91974693032602,72.49867450368627,20.49,54034.0,8068.0,1214.0,1,1348.0,24753.0,5.76,1,5,9.59,38.25
22.99607232426761,72.81219809768825,32.92,68200.0,16729.0,950.0,1,591.0,36924.0,7.36,3,2,7.47,55.15
23.03318092164685,72.83552912258268,3.72,75036.0,11818.0,577.0,6,1864.0,37724.0,5.4,1,2,2.96,34.99
23.07803499210852,72.82213324455671,15.82,87348.0,10581.0,2736.0,7,1330.0,35789.0,3.88,1,3,2.45,44.96
23.24258798069651,72.58710710832872,10.59,93970.0,10571.0,1802.0,1,1040.0,34733.0,6.28,1,4,9.89,40.95
22.94983689107918,72.78102132549465,26.12,57805.0,14168.0,4277.0,4,687.0,32500.0,5.2,2,3,0.67,60.0
23.10711721920681,72.77227469926753,34.38,38479.0,21963.0,1898.0,0,2497.0,25578.0,0.67,0,1,8.44,43.69
23.14620728443102,72.50955023662162,10.47,56731.0,28000.0,2728.0,2,198.0,45101.0,0.95,3,3,3.55,65.88024023596004
22.87322520636,72.76445773707533,23.59,70206.0,8837.0,1582.0,2,128.0,38693.0,0.5,2,4,4.19,43.96
23.15377242595072,72.36850381735773,8.54,45725.0,12162.0,2340.0,2,559.0,20965.0,3.76,9,7,8.32,41.67
22.93526206184365,72.64813493924102,20.66,45857.0,10442.0,581.0,1,2428.0,25046.0,6.64,2,5,0.91,45.62
22.88252579649264,72.46500441864384,17.31,71876.0,13699.0,1824.0,3,2449.0,14344.0,2.64,5,0,3.54,40.79
